id;icon;type;name
1;UIC-Franc salmon;Massachusetts Incredible Madagascar;Table incremental
2;orchid Chicken compelling;clear-thinking;Movies Buckinghamshire
3;circuit;Automotive Sports;withdrawal Licensed 1080p
4;Awesome Loan;transmitter Reunion;transmitting
5;Unions Handmade bandwidth;FTP high-level neural;relationships
6;Rubber;Fantastic;Gorgeous
7;Persevering;deposit;Oregon Hampshire
8;withdrawal Won Throughway;USB protocol Soap;sensor
9;orchestration;Tasty District;Pound Liaison
10;Automated redundant Pataca;Sausages back-end;Customer Loan
