id;name;description;currency;initial_balance;in_reports
1;deposit Manager;Republic;matrix Beauty green;8779;false
2;calculating Nebraska Account;IB Paraguay;International Holy deposit;58928;false
3;Soft Nevada;bandwidth Louisiana Electronics;Tools invoice sensor;93169;true
4;Lilangeni Handmade New;Automotive;Table;8934;false
5;concept coherent Iowa;Soft USB neural;teal blockchains Gorgeous;24677;false
6;Unbranded back-end;Liaison;local core;54664;false
7;Jersey Customer-focused;Alley haptic;client-driven Cloned Future;26175;false
8;Awesome;frame;Bacon FTP Maryland;8805;true
9;National generate Flat;navigate productivity;Alabama Proactive Pizza;87743;false
10;programming Chicken;asymmetric AI Spur;Fish;19634;true
